YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUP
2004,Mangalore,159,3020.82,27,Alluvial,Drip,792,52,Coconut,234779,Kharif,Y1,Medium
2004,Mangalore,9651,3020.82,27,Alluvial,Drip,34153,51,Coconut,1493,Kharif,Y1,Medium
2004,Kodagu,46538,3020.82,27,Alluvial,Drip,132551,57,Coconut,64409,Kharif,Y1,Medium
2004,Raichur,6751,3020.82,27,Red,Basin,58405,53,Coconut,45186,Rabi,Y1,Medium
2004,Raichur,6943,3020.82,27,Red,Basin,60751,53.5,Coconut,238542,Rabi,Y1,Medium
2004,Raichur,7070,3020.82,27,Red,Basin,109506,52.5,Coconut,1516,Rabi,Y1,Medium
2004,Gulbarga,1010,3020.82,27,Black,Spray,836,50,Coconut,57259,Zaid,Y1,Medium
2004,Gulbarga,825,3020.82,27,Loam,Spray,806,54,Coconut,234779,Zaid,Y1,Medium
2004,Gulbarga,737,3020.82,27,Loam,Spray,880,53,Coconut,1493,Zaid,Y1,Medium
2004,Gulbarga,3176,3020.82,149,Black,Drip,1871,57,Cardamum,44235,Zaid,Y1,Medium
2005,Gulbarga,3284,3020.82,150,Black,Drip,1868,55,Cardamum,203317,Zaid,Y1,Medium
2011,Hassan,38712,3020.82,201,Sandy loam ,Basin,2810,59.5,Ginger,646,Kharif,Y2,Medium
2012,Hassan,86,3020.82,202,Sandy loam ,Basin,841,55,Ginger,43562,Kharif,Y2,Medium
2013,Hassan,5797,3020.82,203,Sandy loam ,Basin,3550,53,Ginger,200000,Kharif,Y2,Medium
2018,Gulbarga,3365,3020.82,148,Black,Drip,1939,57.5,Coffee,2644,Zaid,Y3,Medium
2004,Kasaragodu,93,256.3,40,Alluvial,Drip,231,55,Coconut,238542,Kharif,Y1,Low
2004,Kasaragodu,7415,256.3,40,Alluvial,Drip,18951,56,Coconut,1516,Kharif,Y1,Low
2004,Kasaragodu,40107,256.3,40,Alluvial,Drip,110579,54,Coconut,57259,Kharif,Y1,Low
2004,Kasaragodu,86,257.4,41,Alluvial,Drip,221,58,Coconut,234779,Kharif,Y1,Low
2004,Kasaragodu,6254,257.4,41,Alluvial,Drip,15362,58,Coconut,1493,Kharif,Y1,Low
2004,Kasaragodu,40197,257.4,41,Alluvial,Drip,120373,59,Coconut,64409,Kharif,Y1,Low
2004,Raichur,86,259.6,43,Red,Drip,283,52,Coconut,24848,Kharif,Y1,Low
2004,Raichur,5797,259.6,43,Red,Drip,17690,51,Coconut,761,Kharif,Y1,Low
2004,Gulbarga,26,256.3,40,Black,Basin,98,57,Coconut,1493,Zaid,Y1,Low
2004,Gulbarga,1,256.3,40,Black,Basin,3,57,Coconut,64409,Zaid,Y1,Low
2004,Gulbarga,12362,256.3,40,Black,Basin,58637,54,Coconut,249978,Zaid,Y1,Low
2004,Gulbarga,12603,257.4,41,Black,Basin,59777,54.5,Coconut,637,Zaid,Y1,Low
2004,Gulbarga,12761,257.4,41,Black,Basin,60528,56.6,Coconut,43311,Zaid,Y1,Low
2004,Gulbarga,12887,257.4,41,Black,Basin,61126,55.5,Coconut,24848,Zaid,Y1,Low
2004,Gulbarga,13508,259.6,43,Black,Basin,73730,53,Coconut,646,Zaid,Y1,Low
2004,Gulbarga,1845,256.3,40,Loam,Spray,4904,57,Coconut,45186,Zaid,Y1,Low
2004,Gulbarga,1679,256.3,40,Loam,Spray,2821,57.5,Coconut,238542,Zaid,Y1,Low
2004,Gulbarga,1657,256.3,40,Loam,Spray,3472,57,Coconut,1516,Zaid,Y1,Low
2004,Gulbarga,1619,257.4,41,Loam,Spray,3647,55,Coconut,200000,Zaid,Y1,Low
2004,Gulbarga,1321,257.4,41,Loam,Spray,393,56,Coconut,4847,Zaid,Y1,Low
2004,Gulbarga,511,257.4,41,Red,Spray,167,54,Coconut,51239,Zaid,Y1,Low
2004,Gulbarga,156,259.6,43,Red,Spray,51,50,Coconut,203317,Zaid,Y1,Low
2004,Gulbarga,181,259.6,43,Red,Spray,61,54,Coconut,2134,Zaid,Y1,Low
2004,Gulbarga,33,359.7,134,Red,Drip,9,57,Coffee,64409,Zaid,Y1,Low
2005,Gulbarga,32,360.8,135,Red,Drip,12,57,Coffee,249978,Zaid,Y1,Low
2009,Madikeri,185,256.3,169,Black,Drip,2810,55.5,Pepper,4847,Kharif,Y1,Low
2004,Madikeri,9821,259.6,179,Alluvial,Basin,2628,57,Arecanut,200000,Kharif,Y1,Low
2004,Hassan,4,256.3,27,Red laterite,Spray,6589,57,Paddy,234581,Kharif,Y1,Low
2005,Hassan,35,257.4,27,Red laterite,Spray,5107,57,Paddy,646,Kharif,Y1,Low
2006,Hassan,5,257.4,27,Red laterite,Spray,5518,54,Paddy,43562,Kharif,Y1,Low
2007,Hassan,11,257.4,27,Red laterite,Spray,4912,54.5,Paddy,200000,Kharif,Y1,Low
2013,Gulbarga,185,353.1,128,Red,Drip,67,53,Cocoa,45186,Zaid,Y2,Low
2015,Gulbarga,111,355.3,130,Red,Drip,32,51,Cocoa,1516,Zaid,Y2,Low
2010,Madikeri,9830,256.3,170,Black,Drip,841,58.5,Pepper,51239,Kharif,Y2,Low
2011,Madikeri,46251,256.3,171,Black,Drip,3550,59.5,Pepper,216396,Kharif,Y2,Low
2012,Madikeri,159,257.4,172,Alluvial,Basin,109,55,Pepper,2644,Kharif,Y2,Low
2013,Madikeri,9651,257.4,173,Alluvial,Basin,3368,53,Pepper,44235,Kharif,Y2,Low
2014,Madikeri,46538,257.4,174,Alluvial,Basin,3671,53.5,Pepper,203317,Kharif,Y2,Low
2011,Hassan,8,259.6,27,Red laterite,Spray,1533,59.5,Paddy,2644,Kharif,Y2,Low
2012,Hassan,19,259.6,27,Red laterite,Spray,1647,55,Paddy,44235,Kharif,Y2,Low
2016,Gulbarga,74,356.4,131,Red,Drip,22,57,Cocoa,57259,Zaid,Y3,Low
2018,Gulbarga,16,358.6,133,Red,Drip,4,60,Cocoa,1493,Zaid,Y3,Low
2018,Madikeri,144,259.6,178,Alluvial,Basin,2088,57.5,Pepper,1516,Kharif,Y3,Low
2017,Hassan,5,256.3,222,Red laterite,Spray,864,57,Tea,761,Kharif,Y3,Low
2018,Hassan,14,256.3,27,Red laterite,Spray,5373,60,Tea,45608,Kharif,Y3,Low
2004,Mangalore,1151,3193.41,27,Alluvial,Drip,2570,57,Coconut,200000,Kharif,Y1,High
2004,Mangalore,11955,3193.41,27,Alluvial,Drip,27170,57.5,Coconut,4847,Kharif,Y1,High
2004,Mangalore,46907,3193.41,27,Alluvial,Drip,114744,57,Coconut,51239,Kharif,Y1,High
2004,Mangalore,653,3296.26,27,Alluvial,Drip,1402,55,Coconut,216396,Kharif,Y1,High
2004,Mangalore,11597,3296.26,27,Alluvial,Drip,23456,56,Coconut,2644,Kharif,Y1,High
2004,Mangalore,46061,3296.26,27,Alluvial,Drip,107809,54,Coconut,44235,Kharif,Y1,High
2004,Mangalore,421,3875.08,27.2,Alluvial,Drip,1132,58,Coconut,203317,Kharif,Y1,High
2004,Mangalore,10657,3875.08,27.2,Alluvial,Drip,23960,58,Coconut,2134,Kharif,Y1,High
2004,Mangalore,45878,3875.08,27.2,Alluvial,Drip,126487,59,Coconut,45186,Kharif,Y1,High
2004,Mangalore,185,4102.78,27,Alluvial,Drip,804,50,Coconut,238542,Kharif,Y1,High
2004,Mangalore,9830,4102.78,27,Alluvial,Drip,30362,54,Coconut,1516,Kharif,Y1,High
2004,Mangalore,46251,4102.78,27,Alluvial,Drip,124492,53,Coconut,57259,Kharif,Y1,High
2004,Kodagu,131,3696,27.2,Alluvial,Drip,338,57,Coconut,249978,Kharif,Y1,High
2004,Kodagu,9819,3696,27.2,Alluvial,Drip,22966,60,Coconut,637,Kharif,Y1,High
2004,Kodagu,46220,3696,27.2,Alluvial,Drip,131763,57,Coconut,43311,Kharif,Y1,High
2004,Kodagu,144,3965.94,27.1,Alluvial,Drip,404,57,Coconut,24848,Kharif,Y1,High
2004,Kodagu,9821,3965.94,27.1,Alluvial,Drip,24184,54,Coconut,761,Kharif,Y1,High
2004,Kodagu,46218,3965.94,27.1,Alluvial,Drip,124387,54.5,Coconut,45608,Kharif,Y1,High
2004,Kodagu,128,3863.64,26.8,Alluvial,Drip,343,56.6,Coconut,234581,Kharif,Y1,High
2004,Kodagu,9455,3863.64,26.8,Alluvial,Drip,23099,55.5,Coconut,646,Kharif,Y1,High
2004,Kodagu,45936,3863.64,26.8,Alluvial,Drip,117826,58.5,Coconut,43562,Kharif,Y1,High
2004,Kodagu,139,3625.6,37,Alluvial,Drip,336,59.5,Coconut,200000,Kharif,Y1,High
2004,Kodagu,9286,3625.6,37,Alluvial,Drip,22594,55,Coconut,4847,Kharif,Y1,High
2004,Kodagu,43275,3625.6,37,Alluvial,Drip,116481,53,Coconut,51239,Kharif,Y1,High
2004,Kasaragodu,129,3905,38,Alluvial,Drip,316,53.5,Coconut,216396,Kharif,Y1,High
2004,Kasaragodu,8355,3905,38,Alluvial,Drip,21400,52.5,Coconut,2644,Kharif,Y1,High
2004,Kasaragodu,42480,3905,38,Alluvial,Drip,122102,56,Coconut,44235,Kharif,Y1,High
2004,Kasaragodu,142,4019.4,39,Alluvial,Drip,382,57,Coconut,203317,Kharif,Y1,High
2004,Kasaragodu,8084,4019.4,39,Alluvial,Drip,19578,57.5,Coconut,2134,Kharif,Y1,High
2004,Kasaragodu,42291,4019.4,39,Alluvial,Drip,121037,57,Coconut,45186,Kharif,Y1,High
2004,Kasaragodu,99,3415.5,42,Red,Drip,291,50,Coconut,249978,Kharif,Y1,High
2004,Kasaragodu,6142,3415.5,42,Red,Drip,17231,54,Coconut,637,Kharif,Y1,High
2004,Kasaragodu,38712,3415.5,42,Red,Drip,119359,53,Coconut,43311,Kharif,Y1,High
2004,Raichur,3611,3193.41,27,Red,Basin,7157,57,Coconut,45608,Kharif,Y1,High
2004,Raichur,4389,3193.41,27,Red,Basin,8700,57,Coconut,234581,Kharif,Y1,High
2004,Raichur,4437,3193.41,27,Red,Basin,41266,60,Coconut,646,Rabi,Y1,High
2004,Raichur,4459,3296.26,27,Red,Basin,8838,57,Coconut,43562,Rabi,Y1,High
